ID,sentence1,sentence2,manual_similarity
1,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,0.6
2,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,0.6
3,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.4
4,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.6
5,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,1
6,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.2
7,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.53334
8,பலகையில் ஒருவர் சைக்கிள் சாகசம் புரிகிறார்,இது ஒரு மாயையான புகைப்படம்.,0
9,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,0.33334
10,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.33334
11,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.33334
12,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.13334
13,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.26666
14,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.06666
15,சைக்கிளில் ஒரு நபர் தாண்டி குதிக்கிறார்,இது ஒரு மாயையான புகைப்படம்.,0
16,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,0.46666
17,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.53334
18,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.6
19,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.33334
20,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.4
21,ஒருவர் ஈருருளியில் பயணிக்கின்றார்,இது ஒரு மாயையான புகைப்படம்.,0
22,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,0.46666
23,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.33334
24,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,பையன் ஒருவன் அந்தரத்தில் மிதி வண்டி ஓடுகின்றான்,0.13334
25,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,துவிச்சக்கரவண்டி பெருந்தெருவில் இருந்து சாய்தளத்தில் ஏறுகின்றது.,0.4
26,ஒருவர் சறுக்கீசில் துவிச்சக்கர வண்டியை மேல் நோக்கி செலுதட்துகின்றார்.,இது ஒரு மாயையான புகைப்படம்.,0
27,சிறிய மரப்பலகை ஊடாக ஈருருளியை செலுத்துகின்றார்,பலகையில் துவிச்சக்கரவண்டியை செலுத்துகிறார்.,0.86666
